,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
0,0,9191791544,2017-06-10 00:00:00,3421 N HALSTED ST,c095c4cf278b92124925c6ab139411e786dc78d2a15acbf7f93d43505973cd4d,FL,PAS,331625704.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,502,DOF,HOND,60,120,0.0,120.0,Paid,2017-10-05 00:00:00,FINL,,5204071840,1594,"3400 n halsted st, chicago, il",60657,41.944289718904784,-87.64932721147476
1,1,67728590,2017-06-10 00:00:00,2801 S EBERHART,566ece6f451c6d0de7dea0f187638aaf4599420295edfb7e539d10d99899bade,IL,PAS,,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,6,CPD,CHEV,60,120,60.0,0.0,Define,2017-06-21 00:00:00,,,0,17477,"2800 s eberhart, chicago, il",60637,41.778464343845236,-87.61315107199383
2,2,67272067,2017-06-10 00:01:00,3208 N HALSTED,231e1788b05d0fd23e6442f8832545cf33e3989bc3d060d0744f595383af4f41,IL,PAS,,0964080B,NO STANDING/PARKING TIME RESTRICTED,19,CPD,SUBA,100,200,0.0,100.0,Paid,2017-06-19 00:00:00,,,0,4632,"3200 n halsted, chicago, il",60657,41.940227312336326,-87.6493111133544
3,3,67591671,2017-06-10 00:01:00,3254  HALSTED,c6f2094c3a7bc3e0f1cce2f2492d6c48beb7942d68f09c8534cda0a03379194c,IL,PAS,,0964080B,NO STANDING/PARKING TIME RESTRICTED,19,CPD,FORD,100,200,0.0,100.0,Paid,2017-06-19 00:00:00,,,0,6648,"3200  halsted, chicago, il",60657,41.94140974556007,-87.64936308297649
4,4,67591673,2017-06-10 00:01:00,3246 N HALSTED,446b6051453d35670651b43d1e99006c52a7fa4747b412421ff20cf7c8adc711,IL,PAS,,0964080B,NO STANDING/PARKING TIME RESTRICTED,19,CPD,VOLK,100,200,0.0,100.0,Paid,2017-06-19 00:00:00,,,0,6648,"3200 n halsted, chicago, il",60657,41.941285939069196,-87.6493607902637
5,5,67887363,2017-06-10 00:01:00,3219 N HALSTED,278e61ec71712502ddf08dd5343e6c99b47bf0424c76564d44698affeba6e900,WI,PAS,,0964080B,NO STANDING/PARKING TIME RESTRICTED,19,CPD,DODG,100,200,0.0,100.0,Paid,2017-06-19 00:00:00,,,0,16490,"3200 n halsted, chicago, il",60657,41.94071292783772,-87.64924418454629
6,6,67945801,2017-06-10 00:01:00,31 W 71ST ST,87376df7a8d3b50a036cf96a895086df5d95fff8e111c015441aea72cd03e7b3,IL,PAS,604191932.0,0976210A,LAMPS BROKEN OR INOPERABLE,4,CPD,GMC,25,50,0.0,50.0,Paid,2017-09-09 00:00:00,FINL,,5175318000,14321,"1 w 71st st, chicago, il",60621,41.76529618362268,-87.62622947376818
7,7,9191776799,2017-06-10 00:01:00,2419 N ORCHARD,f9fb40dec7e94ba94fad5220c0982f190a514e1efadd40a9acd94c0882aa9b72,IL,PAS,606145992.0,0976160F,EXPIRED PLATES OR TEMPORARY REGISTRATION,502,DOF,TOYT,60,120,0.0,0.0,Dismissed,2017-09-25 00:00:00,VIOL,Not Liable,5192607970,1619,"2400 n orchard, chicago, il",60614,41.92612328864908,-87.64630267733291
8,8,68164753,2017-06-10 00:01:00,1725 S WABASH AV,576f6756d70bc6c5e35c62d0996cb68ea4b22577125b4d24b2f510d85ac5c1d2,IL,PAS,,0976180A,SAFETY BELTS REQUIRED,1,CPD,BMW,25,50,0.0,25.0,Paid,2017-06-19 00:00:00,,,0,3377,"1700 s wabash av, chicago, il",60616,41.858297696087476,-87.62557362568555
9,9,68160600,2017-06-10 00:01:00,1725 S WABASH,576f6756d70bc6c5e35c62d0996cb68ea4b22577125b4d24b2f510d85ac5c1d2,IL,PAS,,0976050B,TWO HEAD LAMPS REQUIRED VISIBLE 1000',1,CPD,BMW,25,50,0.0,25.0,Paid,2017-06-19 00:00:00,,,0,7858,"1700 s wabash, chicago, il",60616,41.858297696087476,-87.62557362568555
10,10,68139225,2017-06-10 00:01:00,3245 N HALSTED,e5c57dcce7ee13873d412314227d5c3496e078cdea661bda6f7d0b1636189ebb,IN,PAS,463203001.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,19,CPD,NISS,100,200,0.0,244.0,Paid,2018-02-03 00:00:00,SEIZ,,5205908120,15556,"3200 n halsted, chicago, il",60657,41.94126153096848,-87.64924571844071
11,11,68139348,2017-06-10 00:01:00,3240 N HALSTED,a958adf99feb900ec5a6ef74869be4f9cdc2bd75fd21a19bbe370f2a8974a6fe,IL,PAS,,0964080B,NO STANDING/PARKING TIME RESTRICTED,19,CPD,NISS,100,200,0.0,100.0,Paid,2017-06-19 00:00:00,,,0,6664,"3200 n halsted, chicago, il",60657,41.94131332944775,-87.64934496145169
12,12,68139349,2017-06-10 00:01:00,3232 N HALSTED,4353e98e6f83f1ba78be3e302497be1de52da6c39992db6acfeaca8d704bd6c7,IL,PAS,623472118.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,19,CPD,JEEP,100,200,100.0,0.0,Define,2017-06-19 00:00:00,,,0,6664,"3200 n halsted, chicago, il",60657,41.94076493727281,-87.64932631603062
