Unnamed: 0,ticket_number,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,issue_date,hour
6820560,68930520,10322 S ST LOUIS,91d95df33a95b8be4b357d19735c342542872f242cb8f07479428850d3f665e0,IL,PAS,606303025,0964100C,BLOCK ACCESS/ALLEY/DRIVEWAY/FIRELANE,22.0,CPD,CHEV,150,300,0.0,150.0,Paid,2018-01-13 00:00:00,VIOL,,5210452530,16184,"10300 s st louis, chicago, il",2015-01-01 00:01:00,0
6820561,9192737683,211 N COLUMBUS (UL) DR,c4a3f40859c7e5a70ee47903be4c6446f455350ea90d89183c9455c241924d78,IL,PAS,,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,502.0,DOF,HYUN,65,130,65.0,0.0,Define,2017-12-27 00:00:00,,,0,1643,"200 n columbus (ul) dr, chicago, il",2015-01-01 00:02:00,0
6820562,68786865,1400 N KILDARE,01aa97eef344b65809aca568e15ea0621fb8d8fc54bf1feef7ccacbffc192594,IL,PAS,606511716,0964100A,WITHIN 15' OF FIRE HYDRANT,25.0,CPD,PONT,150,300,300.0,0.0,Notice,2018-01-03 00:00:00,SEIZ,,5195829440,10383,"1400 n kildare, chicago, il",2015-01-01 00:02:00,0
6820563,68919486,6621 S PAULINA,047a210a9f991fa21564ab564f8cc8861f69141616a6d1deea146022af67e2e7,IN,TMP,,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,7.0,CPD,DODG,60,120,0.0,0.0,Dismissed,2018-04-01 00:00:00,,,0,19170,"6600 s paulina, chicago, il",2015-01-01 00:04:00,0
6820564,9192737684,211 N COLUMBUS (UL) DR,3614c62ccf00bb2f5a715f59357705b60c14f2bd5edba05bf089c18cf9e5662d,IL,PAS,604317501,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,502.0,DOF,HOND,65,130,0.0,65.0,Paid,2018-01-03 00:00:00,,,0,1643,"200 n columbus (ul) dr, chicago, il",2015-01-01 00:05:00,0
6820565,68919487,6621 S PAULINA,047a210a9f991fa21564ab564f8cc8861f69141616a6d1deea146022af67e2e7,IN,TMP,,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",7.0,CPD,DODG,200,400,0.0,0.0,Dismissed,2018-04-01 00:00:00,,,0,19170,"6600 s paulina, chicago, il",2015-01-01 00:05:00,0
6820566,68742891,13000 S TORRENCE,e8de82f3b40926b8a48d3809aa933309a258fbc08a52a19dbd590752e5bb8bba,IL,PAS,606332006,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,4.0,CPD,HUMM,60,120,0.0,120.0,Paid,2018-03-13 00:00:00,FINL,,5155015060,13159,"13000 s torrence, chicago, il",2015-01-01 00:09:00,0
6820567,68825208,4649 W WAVELAND,14ce91cd8119b43062d910c3f0f5e597237adc05ebbb65884ae29da000230772,IL,PAS,60154,0964110C,PARK OR STAND ON CROSSWALK,17.0,CPD,DODG,60,120,0.0,60.0,Paid,2018-02-07 00:00:00,VIOL,,5210406650,11440,"4600 w waveland, chicago, il",2015-01-01 00:10:00,0
6820568,9192743242,211 N COLUMBUS (UL) DR,21375914489bf2b7376979f34c2ac9d390a0c2c9eb4329df8cf2601046bf4f42,IL,PAS,60615,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,502.0,DOF,TOYT,65,130,0.0,65.0,Paid,2018-03-03 00:00:00,DETR,,5210277270,1535,"200 n columbus (ul) dr, chicago, il",2015-01-01 00:10:00,0
6820569,68656700,3501 W 30 STREET,e7226bb95f53884aee33dbca79b1b2de8ad7ffbfa93d4a51b0abb5e9574f90f7,IL,PAS,60632,0964150B,PARKING/STANDING PROHIBITED ANYTIME,10.0,CPD,CHEV,75,150,150.0,0.0,Notice,2018-01-03 00:00:00,FINL,,5208261590,15799,"3500 w 00 street, chicago, il",2015-01-01 00:13:00,0
