,Unnamed: 0,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,latitudes,longitudes
0,0,9192680820,2017-12-16 00:00:00,3473 N CLARK,64746252b5c6e9ba5f5aab9e2b3b2b902ec05eec0de158d2d406b3e947f2683c,IL,PAS,60633.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,502,DOF,NISS,100,200,0.0,100.0,Paid,2018-02-06 00:00:00,DETR,,5207011090,1109,"3400 n clark, chicago, il",41.94539220428178,-87.65501546306781
1,1,68894996,2017-12-16 00:00:00,2410 W CATALPA,afd361aee0cad191ecb238a7abebd592f8cdabf87196dcd8018129e446334b47,IL,PAS,60625.0,0964125B,"NO CITY STICKER VEHICLE UNDER/EQUAL TO 16,000 LBS.",20,CPD,NISS,200,400,0.0,200.0,Paid,2018-01-26 00:00:00,VIOL,,5210312890,9014,"2400 w catalpa, chicago, il",41.981466992656806,-87.69006163329503
2,2,9192716841,2017-12-16 00:00:00,23 W HUBBARD ST,f289d12483fab8c2390391f66c263ff955ddc460e265bfcb54b87bb779b476bc,IL,PAS,607071735.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,502,DOF,HOND,100,200,200.0,0.0,Notice,2017-12-21 00:00:00,FINL,,5208926530,1627,"1 w hubbard st, chicago, il",41.89003650678068,-87.6289913068267
3,3,68747771,2017-12-16 00:01:00,3616 E 107TH ST,95d5f5a9e311b5635ce06a4c1af0f444bd513474c180c570eac72f7a78a6a137,IL,PAS,606176701.0,0964150B,PARKING/STANDING PROHIBITED ANYTIME,4,CPD,GMC,75,150,0.0,75.0,Paid,2018-01-06 00:00:00,VIOL,,5177215050,17916,"3600 e 107th st, chicago, il",41.70098612117746,-87.53574602669374
4,4,68683501,2017-12-16 00:01:00,8435 S DREXEL,5370eff877e020a28790b771d51776db00e117cbbdad9eb56ea68931358ad43e,IL,PAS,604151666.0,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,6,CPD,NISS,60,120,146.4,0.0,Notice,2017-12-28 00:00:00,SEIZ,,5190742630,15972,"8400 s drexel, chicago, il",41.7411000313636,-87.60248118065114
5,5,9192700370,2017-12-16 00:02:00,1200 N PAULINA,ba0a707c292d3f2f375aa0a21bfdb3d0023bf5aec8b750ec43e2d872a9f6799f,IL,PAS,60622.0,0964100G,STOP SIGN OR TRAFFIC SIGNAL,502,DOF,CHEV,60,120,120.0,0.0,Notice,2017-12-21 00:00:00,FINL,,5210023440,1565,"1200 n paulina, chicago, il",41.90333616627291,-87.67048941292383
6,6,9192680821,2017-12-16 00:02:00,3463 N CLARK,0fc16ad37b85955775dbb38f60ba90674f8b3412b3f5ae452e4674bc2ef2011a,IL,PAS,606252442.0,0964080B,NO STANDING/PARKING TIME RESTRICTED,502,DOF,INFI,100,200,0.0,100.0,Paid,2018-01-14 00:00:00,VIOL,,5181121540,1109,"3400 n clark, chicago, il",41.94515123703037,-87.65481700692489
7,7,68786468,2017-12-16 00:02:00,2611 N CENTRAL,36d23a195c40fd5c369ebd63c62fb8ad0c40df6fced0975095502a7cc5e3a969,IL,TMP,,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,25,CPD,TOYT,60,120,60.0,0.0,Define,2018-01-02 00:00:00,,,0,11202,"2600 n central, chicago, il",41.92787879156327,-87.76607527947382
8,8,69020784,2017-12-16 00:02:00,2600 W FULLERTON,a1111bfdfcefb90c20a66135d089db313386e38dd29f955b36d59cffc29319ef,IL,PAS,606083610.0,0976160B,EXPIRED PLATE OR TEMPORARY REGISTRATION,14,CPD,FORD,60,120,0.0,60.0,Paid,2018-01-29 00:00:00,DETR,,5200724340,13954,"2600 w fullerton, chicago, il",41.92488447157923,-87.69274102553523
9,9,9192713447,2017-12-16 00:03:00,228 S WABASH AV,a323104ce188ec714d8cf813521521e8517708792d08a6c6e5acd29f6c25aa54,IL,PAS,600761425.0,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,502,DOF,TOYT,65,130,0.0,65.0,Paid,2017-12-21 00:00:00,,,5210102660,1639,"200 s wabash av, chicago, il",41.87863780099832,-87.6260988926363
