,ticket_number,issue_date,violation_location,license_plate_number,license_plate_state,license_plate_type,zipcode,violation_code,violation_description,unit,unit_description,vehicle_make,fine_level1_amount,fine_level2_amount,current_amount_due,total_payments,ticket_queue,ticket_queue_date,notice_level,hearing_disposition,notice_number,officer,address,new_zipcodes,latitudes,longitudes
0,68139029,2017-06-09 00:00:00,223 E MONTROSE HARBOR,7e264ef5900a5baca9a55f190ae8a669c37ead19aec08f9e48ba76777a483407,IL,PAS,60613,0980130B,PARK IN CITY LOT WHEN CLOSED,19,CPD,CADI,50,100,0.0,-50.0,Paid,2018-02-15 00:00:00,DETR,Not Liable,5176346480,18634,"200 e montrose harbor, chicago, il",60640,41.96345176114673,-87.63778111716636
1,9191901110,2017-06-09 00:00:00,22 E PEARSON ST,bff12d7d0db037418254067b9a257577b656473a6a58f12334ac47e7878bbd36,IL,PAS,,0964190B,EXPIRED METER CENTRAL BUSINESS DISTRICT,502,DOF,TOYT,65,130,0.0,65.0,Paid,2017-06-12 00:00:00,,,0,1628,"1 e pearson st, chicago, il",60611,41.897567482110844,-87.62731216763807
2,9191901954,2017-06-09 00:00:00,2125 W 22ND PL,afc9425fa5804469d3cf060b8f489d002aed6b308dbd89f6c5b55bd8e14ddd87,IL,PAS,,0964090E,RESIDENTIAL PERMIT PARKING,502,DOF,DODG,75,150,0.0,0.0,Dismissed,2017-09-03 00:00:00,,,0,830,"2100 w 22nd pl, chicago, il",60608,41.85113379464134,-87.67922742469122
3,68160524,2017-06-09 00:00:00,5023 S COLUMBUS DR,37aa6f1fd35f28be8a17b684b63490987aa861c01e87844778cff990242d80f4,IL,PAS,,0964080B,NO STANDING/PARKING TIME RESTRICTED,1,CPD,CHEV,100,200,100.0,0.0,Define,2017-06-19 00:00:00,,,0,11206,"5000 s columbus dr, chicago, il",60605,41.869412487751944,-87.62052628206051
4,9191901955,2017-06-09 00:02:00,2129 W 22ND PL,bd2f65e38a42048c487d87d4a125c4bbff552737420b350a90c49b1ca966df94,IL,PAS,606084117,0964090E,RESIDENTIAL PERMIT PARKING,502,DOF,FORD,75,150,0.0,75.0,Paid,2017-07-06 00:00:00,VIOL,,5187271780,830,"2100 w 22nd pl, chicago, il",60608,41.85113172385947,-87.67937514046478
5,67969590,2017-06-09 00:02:00,4125 N CALIFORNIA,afee4b0ef437001de7774d4b6ace7781876026d01135cdf5ac00ec4c6b2961bc,IL,PAS,606182708,0980130B,PARK IN CITY LOT WHEN CLOSED,17,CPD,NISS,50,100,0.0,0.0,Dismissed,2017-07-18 00:00:00,,Not Liable,5191362410,9661,"4100 n california, chicago, il",60618,41.95626644505199,-87.69830701938146
6,67969591,2017-06-09 00:03:00,4125 N CALIFORNIA,04ae4a2f8f0f2f2d36de217a4d058551496e905e6e1148765b4f620d9262f9fd,IL,PAS,60618,0980130B,PARK IN CITY LOT WHEN CLOSED,17,CPD,NISS,50,100,0.0,0.0,Dismissed,2017-07-18 00:00:00,,Not Liable,5205948080,9661,"4100 n california, chicago, il",60618,41.95626644505199,-87.69830701938146
7,9191758738,2017-06-09 00:04:00,2257 W 23RD PL,ab2de503645cef40a46accc9a6d80bb95be4d7a18ac1467e53e4ca9d864b3c56,IL,PAS,606083903,0964090E,RESIDENTIAL PERMIT PARKING,502,DOF,FORD,75,150,183.0,0.0,Notice,2017-06-15 00:00:00,SEIZ,,5202109010,1627,"2200 w 23rd pl, chicago, il",60608,41.849304539529264,-87.68286047155058
8,68207241,2017-06-09 00:04:00,7620 W ROSCOE,66d156957d2ae5fc66025253f7bfd3ab7e78a57533cb620fbbd17c054af9d7f9,IL,TRK,,0964170A,"TRUCK,RV,BUS, OR TAXI RESIDENTIAL STREET",16,CPD,FORD,75,150,0.0,75.0,Paid,2017-06-19 00:00:00,,,0,13640,"7600 w roscoe, chicago, il",60634,41.941393522072765,-87.81749052844941
9,67969592,2017-06-09 00:04:00,4125 N CALIFORNIA,e5074c99f73b61710bfd1cf5a7b185c5d996ef6f3ff3ea323b585c70c65db77b,NY,PAS,60148,0980130B,PARK IN CITY LOT WHEN CLOSED,17,CPD,BUIC,50,100,0.0,50.0,Paid,2017-06-23 00:00:00,,,5044442080,9661,"4100 n california, chicago, il",60618,41.95626644505199,-87.69830701938146
